,Address,Price,Bed,Bath,SQFT,Description,latitude,longitude,Listing URL,Picture,Street,City,State,Zip Code
41,"2601 E 18th St, Austin, TX 78702","$1,800/mo",2 beds,1 bath,720 sq ft,"Primarely Furnished with new beds (1 in master and 1 in 2nd bedroom no linens) 3 rd bedroom is vacant for THE tenant to use as needed. Front room is an office with a desk , ready for you. Kitchen has ",30.2796415,-97.7136456,https://www.redfin.com/TX/Austin/2601-E-18th-St-78702/home/175279012,https://ssl.cdn-redfin.com/photo/rent/40915f11-e068-41f7-9721-e91cd9450b9b/islphoto/genIsl.34_1.jpg,2601 E 18th St, Austin,TX,78702
42,"1307 Clifford Ave, Austin, TX 78702","$4,850/mo",3 beds,3 baths,"2,111 sq ft","Your new condo room is now ready for move-in. The apartment is located in a quiet, family-friendly neighborhood with friendly neighbors. You are also just minutes away from schools, shopping centers, ",30.2775173,-97.7066912,https://www.redfin.com/TX/Austin/1307-Clifford-Ave-78702/home/31384771,https://ssl.cdn-redfin.com/photo/rent/f1e00cc3-b211-4af4-8c50-0a33e7c24322/islphoto/genIsl.0_1.jpg,1307 Clifford Ave, Austin,TX,78702
43,"12118 Old Stage Trl, Austin, TX 78750","$2,300/mo",3 beds,2 baths,— sq ft,"Welcome to 1308 Ambler Dr. in Austin, a stunning home with 2,493 square feet of living space in the Harris Ridge Community. Featuring five bedrooms, three bathrooms, and an attached two-car garage, th",30.4527097,-97.8006116,https://www.redfin.com/TX/Austin/12118-Old-Stage-Trl-78750/home/32781360,https://ssl.cdn-redfin.com/photo/rent/f1e00cc3-b211-4af4-8c50-0a33e7c24322/islphoto/genIsl.1_1.jpg,12118 Old Stage Trl, Austin,TX,78750
44,"935 La Posada Dr, Austin, TX 78752",$910/mo,1 bed,1 bath,650 sq ft,"Conveniently situated in the sought-after area of 14507 Running Deer Trl, this charming property boasts 3 bedrooms and 2 full bathrooms within a spacious 1530 square feet. Enter into a cozy living roo",30.3250833,-97.7035289,https://www.redfin.com/TX/Austin/935-La-Posada-Dr-78752/home/51565932,https://ssl.cdn-redfin.com/photo/rent/f1e00cc3-b211-4af4-8c50-0a33e7c24322/islphoto/genIsl.38_1.jpg,935 La Posada Dr, Austin,TX,78752
45,"1308 Ambler Dr, Austin, TX 78753","$2,545/mo",5 beds,3 baths,"2,493 sq ft",Gorgeous single-story house in popular NW Austin. 4 bedrooms + study & 2 baths. Open floor-plan. Recent updates to the house. Private backyard with covered patio & open deck to create your own oasis. ,30.406663,-97.6448491,https://www.redfin.com/TX/Austin/1308-Ambler-Dr-78753/home/169745241,https://ssl.cdn-redfin.com/photo/rent/b2a2def8-cc58-446c-b118-9d36404e4285/islphoto/genIsl.0_2.jpg,1308 Ambler Dr, Austin,TX,78753
46,"14507 Running Deer Trl, Austin, TX 78734","$2,595/mo",3 beds,2 baths,"1,530 sq ft","At 2604 Cockburn Drive, you'll find a lovely 3-bedroom, 2-bath house with 1226 sq ft of living space in Village Sec 06 Community. The living room flows nicely into the kitchen area, creating a welcomi",30.3759237,-97.9280376,https://www.redfin.com/TX/Austin/14507-Running-Deer-Trl-78734/home/31299671,https://ssl.cdn-redfin.com/photo/rent/b2a2def8-cc58-446c-b118-9d36404e4285/islphoto/genIsl.1_2.jpg,14507 Running Deer Trl, Austin,TX,78734
47,"10117 Cassandra Dr, Austin, TX 78717","$3,200/mo",4 beds,2 baths,"2,381 sq ft","Ready for move in Now. Fresh Remodel with brand new floors/ carpets. Wonderful opportunity to live in this highly sought after community. Just a couple minute drive to the fabulous hiking, biking, cam",30.4927423,-97.7701271,https://www.redfin.com/TX/Austin/10117-Cassandra-Dr-78717/home/32895434,https://ssl.cdn-redfin.com/photo/rent/b2a2def8-cc58-446c-b118-9d36404e4285/islphoto/genIsl.35_1.jpg,10117 Cassandra Dr, Austin,TX,78717
48,"2604 Cockburn Dr, Austin, TX 78745","$2,495/mo",3 beds,2 baths,"1,226 sq ft","4b 2.5 bath, 2 story, 2 garage with backyard right in a quiet neighborhood in the belhaven community. Master on the first floor, 3B upstairs with game room & bath. It's about 25 minutes from U Austin ",30.2116937,-97.8117489,https://www.redfin.com/TX/Austin/2604-Cockburn-Dr-78745/home/31731870,https://ssl.cdn-redfin.com/photo/rent/65634ae7-1350-4f50-9a53-a0db1d9e3624/islphoto/genIsl.0_1.jpg,2604 Cockburn Dr, Austin,TX,78745
49,"7221 Crestone Rd, Austin, TX 78744","$2,250/mo",3 beds,3 baths,"1,705 sq ft","Great upgraded home, gated community, greenbelt lot, plug in garage for electric car charging, brand new fridge being installed - nothing more to be said!! Book a showing now before you miss out Sprin",30.1973697,-97.7002749,https://www.redfin.com/TX/Austin/7221-Crestone-Rd-78744/home/44643158,https://ssl.cdn-redfin.com/photo/rent/65634ae7-1350-4f50-9a53-a0db1d9e3624/islphoto/genIsl.1_1.jpg,7221 Crestone Rd, Austin,TX,78744
50,"For Rent Rm For, Austin, TX 78754","$1,213/mo",1 bed,2.5 baths,— sq ft,"Please note, our homes are available on a first-come, first-serve basis and are not reserved until the lease is signed by all applicants and security deposits are collected.<br><br>This home features ",30.355886,-97.649386,https://www.redfin.com/TX/Austin/For-Rent-78754/unit-For/home/189549761,https://ssl.cdn-redfin.com/photo/rent/65634ae7-1350-4f50-9a53-a0db1d9e3624/islphoto/genIsl.10_1.jpg,For Rent Rm For, Austin,TX,78754
51,"9605 McKnight Loop, Austin, TX 78717","$2,750/mo",3 beds,3 baths,"1,767 sq ft","So much space! You'll love the fantastic 4-bedroom, 3-bath home with 2,507 sq ft of living space in the Malone Park Community. The living room flows nicely into the kitchen area, creating a welcoming ",30.4863221,-97.7554003,https://www.redfin.com/TX/Austin/9605-McKnight-Loop-78717/home/191877211,https://ssl.cdn-redfin.com/photo/rent/46abc5df-58ff-461b-81b4-edd082e9fe50/islphoto/genIsl.0_1.jpg,9605 McKnight Loop, Austin,TX,78717
52,"1416 Miss Allisons Way, Pflugerville, TX 78660","$2,270/mo",3 beds,2.5 baths,"1,439 sq ft","Welcome to this charming 3 bedroom, 2 bathroom home on the trendy east side. Featuring an open floor plan, high ceilings and a cozy living area with fireplace. The master suite has a large walk in clo",30.448883,-97.6588455,https://www.redfin.com/TX/Pflugerville/1416-Miss-Allisons-Way-78660/home/31940069,https://ssl.cdn-redfin.com/photo/rent/46abc5df-58ff-461b-81b4-edd082e9fe50/islphoto/genIsl.1_1.jpg,1416 Miss Allisons Way, Pflugerville,TX,78660
53,"1220 Winnie Dr, Austin, TX 78748","$2,895/mo",4 beds,3 baths,"2,507 sq ft","Great North Austin Location! Preston Village Built in 2012. Easy Access to I-35, Toll Road 45 and MoPac and just 25 Minutes to Downtown Austin. Near Major Employers including Dell, Apple, HP and Samsu",30.1623279,-97.8201883,https://www.redfin.com/TX/Austin/1220-Winnie-Dr-78748/home/172477712,https://ssl.cdn-redfin.com/photo/rent/46abc5df-58ff-461b-81b4-edd082e9fe50/islphoto/genIsl.37_1.jpg,1220 Winnie Dr, Austin,TX,78748
54,"6809 Jaired Dr, Austin, TX 78724","$1,900/mo",3 beds,2 baths,"1,162 sq ft",MOVE-IN SPECIAL!!! $500 OFF YOUR 1ST FULL MONTH'S RENT<br><br>Welcome to 15204 Donna Jane Lp! This remarkable 3 beds and 2 baths home is located in Texas with a living space of 1745 square feet in Sar,30.3050649,-97.6416028,https://www.redfin.com/TX/Austin/6809-Jaired-Dr-78724/home/31435328,https://ssl.cdn-redfin.com/photo/rent/4bf9a4e7-c450-491f-9427-f2d58be0b664/islphoto/genIsl.0_1.jpg,6809 Jaired Dr, Austin,TX,78724
55,"16029 Hampton Bliss Trce, Austin, TX 78728","$2,175/mo",3 beds,2.5 baths,"1,915 sq ft",A blend of authenticity and urban design. Aspire feels more like a vacation destination than an apartment community. Features spacious one and two-bedroom apartment homes that are packed with unique f,30.468647,-97.6848706,https://www.redfin.com/TX/Austin/16029-Hampton-Bliss-Trce-78728/home/44652146,https://ssl.cdn-redfin.com/photo/rent/4bf9a4e7-c450-491f-9427-f2d58be0b664/islphoto/genIsl.1_1.jpg,16029 Hampton Bliss Trce, Austin,TX,78728
56,"15204 Donna Jane Loop, Pflugerville, TX 78660","$2,045/mo",3 beds,2 baths,"1,745 sq ft","No showings until Thursday 8/1 (Carpet Cleaning). Beautiful 1.5 story home with open kitchen, granite countertops and stainless steel appliances. Floor to ceiling stone fireplace. Versatile upstairs r",30.4392135,-97.6570958,https://www.redfin.com/TX/Pflugerville/15204-Donna-Jane-Loop-78660/home/31989374,https://ssl.cdn-redfin.com/photo/rent/4bf9a4e7-c450-491f-9427-f2d58be0b664/islphoto/genIsl.13_1.jpg,15204 Donna Jane Loop, Pflugerville,TX,78660
57,"Aspire at Del Valle | 6516 Ross Rd, Del Valle, TX 78617","$1,194+/mo",1-2 bed,1-2 bath,"618-1,161 sq ft","Golf Course Community! Gorgeous home for lease. Stunning hand honed wood floors. 4 living areas. 2 dining areas. 1 fireplace in family room, 2nd fireplace in master bedroom. 1 full bath & bedroom down",30.162814,-97.639442,https://www.redfin.com/TX/Del-Valle/6516-Ross-Rd-78617/home/160788481,https://ssl.cdn-redfin.com/photo/rent/067f2204-4e61-481b-8c1c-207338b23a62/islphoto/genIsl.0_1.jpg,Aspire at Del Valle | 6516 Ross Rd, Del Valle,TX,78617
58,"12609 Lee Park Ln, Austin, TX 78732","$3,300/mo",4 beds,3 baths,"2,506 sq ft","Enjoy this tucked away single story home in the South Austin, Olympic Heights Neighborhood. This home features easy care tile throughout most of the property, which nicely accents the open floorplan f",30.3669699,-97.8979721,https://www.redfin.com/TX/Austin/12609-Lee-Park-Ln-78732/home/31005072,https://ssl.cdn-redfin.com/photo/rent/067f2204-4e61-481b-8c1c-207338b23a62/islphoto/genIsl.1_1.jpg,12609 Lee Park Ln, Austin,TX,78732
59,"4601 Red River St, Austin, TX 78751","$3,495/mo",3 beds,2 baths,"1,826 sq ft",**4HR NOTICE REQUIRED**Complete app requires ID/App/Fee/Proof-of-Income**House will be thoroughly deep cleaned and made ready** Amazing rental opportunity in south Austin at a super price for fast lea,30.3062271,-97.7184393,https://www.redfin.com/TX/Austin/4601-Red-River-St-78751/home/31425838,https://ssl.cdn-redfin.com/photo/rent/067f2204-4e61-481b-8c1c-207338b23a62/islphoto/genIsl.15_1.jpg,4601 Red River St, Austin,TX,78751
60,"14312 Broadwinged Hawk Dr, Austin, TX 78738","$3,500/mo",5 beds,4 baths,"4,693 sq ft","Take a look at this lovely 4 bed 3 bath home ready to make you own. Convenient access to North or South Austin and close to parks, shopping and entertainment. Enjoy entertaining in the welcoming livin",30.3236259,-97.9606452,https://www.redfin.com/TX/Austin/14312-Broadwinged-Hawk-Dr-78738/home/30997725,https://ssl.cdn-redfin.com/photo/rent/ecc20962-3415-435a-9eef-7e9aace0799d/islphoto/genIsl.0_1.jpg,14312 Broadwinged Hawk Dr, Austin,TX,78738
61,"2104 Jesse Owens Dr, Austin, TX 78748","$2,000/mo",3 beds,2 baths,"1,167 sq ft",Come check out this gorgeous updated 3 bedroom 2 bath home. In an ideal spot for quick access to 35! Thank you for showing! Please make sure to shut off lights and lock up on your way out.,30.1544551,-97.8397018,https://www.redfin.com/TX/Austin/2104-Jesse-Owens-Dr-78748/home/30987816,https://ssl.cdn-redfin.com/photo/rent/ecc20962-3415-435a-9eef-7e9aace0799d/islphoto/genIsl.1_1.jpg,2104 Jesse Owens Dr, Austin,TX,78748
62,"8803 Dulcet Dr, Austin, TX 78745","$2,150/mo",3 beds,2.5 baths,"1,714 sq ft","**For lease application instructions, please go to: https://www.gregorygrouptx.com/lease-app-instructions ** *We do not process applications over the weekend or on holidays; all apps and updates recei",30.1880867,-97.8184186,https://www.redfin.com/TX/Austin/8803-Dulcet-Dr-78745/home/30996774,https://ssl.cdn-redfin.com/photo/rent/ecc20962-3415-435a-9eef-7e9aace0799d/islphoto/genIsl.27_1.jpg,8803 Dulcet Dr, Austin,TX,78745
63,"11012 Harvest Time Dr, Austin, TX 78754","$2,580/mo",4 beds,3 baths,"2,358 sq ft","Gorgeous, meticulously maintained, 3 bedroom in the desirable Scenic Point neighborhood. This home was built in 2015 and features a large open kitchen, living, dining area with high ceilings and reces",30.359704,-97.6438429,https://www.redfin.com/TX/Austin/11012-Harvest-Time-Dr-78754/home/31017531,https://ssl.cdn-redfin.com/photo/rent/bfe517b4-50b0-40f4-adc3-aab31d900f93/islphoto/genIsl.0_1.jpg,11012 Harvest Time Dr, Austin,TX,78754
64,"2129 Dry Tortugas Trl, Austin, TX 78747","$2,400/mo",3 beds,2 baths,"2,062 sq ft","This unique bungalow-style home is only 6 blocks from UT in the heart of the French Place area!The charming French Place neighborhood is replete with vintage homes from the 1930s, 40s and 50s, and exu",30.1536196,-97.7849204,https://www.redfin.com/TX/Austin/2129-Dry-Tortugas-Trl-78747/home/30995420,https://ssl.cdn-redfin.com/photo/rent/bfe517b4-50b0-40f4-adc3-aab31d900f93/islphoto/genIsl.1_1.jpg,2129 Dry Tortugas Trl, Austin,TX,78747
65,"6420 Magenta Ln, Austin, TX 78739","$4,800/mo",5 beds,3.5 baths,"4,100 sq ft",The condition of this wonderful house is a immaculate! The entire interior was just fully repainted including cabinets and ceiling!! Brand new fence in backyard. The home's exterior was just power was,30.185973,-97.9082574,https://www.redfin.com/TX/Austin/6420-Magenta-Ln-78739/home/30987605,https://ssl.cdn-redfin.com/photo/rent/bfe517b4-50b0-40f4-adc3-aab31d900f93/islphoto/genIsl.15_1.jpg,6420 Magenta Ln, Austin,TX,78739
66,"7109 Boyle Dr, Austin, TX 78724","$3,650/mo",3 beds,2.5 baths,"2,093 sq ft","Cute 2 story 3 bedroom, 2.5 bath. Easy to maintain and near highways 130 and TX71, near the airport. Move-in ready.",30.3057065,-97.645105,https://www.redfin.com/TX/Austin/7109-Boyle-Dr-78724/home/30970139,https://ssl.cdn-redfin.com/photo/rent/c85df667-c353-4a15-a113-8c9c1dc1aa39/islphoto/genIsl.0_1.jpg,7109 Boyle Dr, Austin,TX,78724
67,"2800 Lafayette Ave Unit B, Austin, TX 78722","$1,595/mo",1 bed,1 bath,650 sq ft,Great home and location 3/2/2  New paint,30.2854059,-97.7214515,https://www.redfin.com/TX/Austin/2800-Lafayette-Ave-78722/unit-B/home/182274371,https://ssl.cdn-redfin.com/photo/rent/c85df667-c353-4a15-a113-8c9c1dc1aa39/islphoto/genIsl.1_1.jpg,2800 Lafayette Ave Unit B, Austin,TX,78722
68,"5601 Viewpoint Dr, Austin, TX 78744","$2,500/mo",4 beds,2.5 baths,"1,856 sq ft","You don't want to miss this beautiful home in Austin! This two story stunner invites you in with tons of natural light, beautiful vinyl flooring, stainless steel appliances in the kitchen, fridge, was",30.2002173,-97.7300225,https://www.redfin.com/TX/Austin/5601-Viewpoint-Dr-78744/home/31029308,https://ssl.cdn-redfin.com/photo/rent/c85df667-c353-4a15-a113-8c9c1dc1aa39/islphoto/genIsl.39_1.jpg,5601 Viewpoint Dr, Austin,TX,78744
69,"12513 Mexicana Cv, Del Valle, TX 78617","$1,795/mo",3 beds,2.5 baths,"1,659 sq ft",Come see this fine remodel! New Carpet being installed this week!  Quiet neighborhood with quick access to downtown Austin and Employers South and SE. A little over a mile to bus stop. Five miles to D,30.1696161,-97.6270462,https://www.redfin.com/TX/Del-Valle/12513-Mexicana-Cv-78617/home/31029159,https://ssl.cdn-redfin.com/photo/rent/6aba9c14-555b-4536-a1c1-ccd16e2622fa/islphoto/genIsl.0_1.jpg,12513 Mexicana Cv, Del Valle,TX,78617
70,"2132 Dry Tortugas Trl, Austin, TX 78747","$2,495/mo",3 beds,2 baths,"1,708 sq ft","Gorgeous 3-bedroom, 2.5 bathroom home located at the Meadows at Berdoll Farms in Del Valle. Offers an open floor plan, with large kitchen with plenty of cabinet storage and granite countertops, breakf",30.1540385,-97.7847733,https://www.redfin.com/TX/Austin/2132-Dry-Tortugas-Trl-78747/home/30993735,https://ssl.cdn-redfin.com/photo/rent/6aba9c14-555b-4536-a1c1-ccd16e2622fa/islphoto/genIsl.1_1.jpg,2132 Dry Tortugas Trl, Austin,TX,78747
71,"5600 Arbor Hill Ln, Austin, TX 78747","$2,300/mo",3 beds,2.5 baths,"2,112 sq ft","Well located home in South Austin. 3 bedrooms and 2 baths, with laminate floors throughout. Fridge, washer and dryer included with the home. Updated kitchen with quartz countertops.  Large outdoor dec",30.1439197,-97.7673528,https://www.redfin.com/TX/Austin/5600-Arbor-Hill-Ln-78747/home/54544780,https://ssl.cdn-redfin.com/photo/rent/6aba9c14-555b-4536-a1c1-ccd16e2622fa/islphoto/genIsl.39_1.jpg,5600 Arbor Hill Ln, Austin,TX,78747
72,"5602 Apple Orchard Ln, Austin, TX 78744","$2,195/mo",3 beds,2.5 baths,"1,691 sq ft","This single-story home, located on a corner lot in the highly sought-after Belterra community in Austin, TX, features 4 bedrooms, 3.5 bathrooms, and a dedicated office. Washer, Dryer and Fridge will s",30.198347,-97.7283119,https://www.redfin.com/TX/Austin/5602-Apple-Orchard-Ln-78744/home/31029380,https://ssl.cdn-redfin.com/photo/rent/f58e4dff-1105-46ab-a342-acdbf8cd2cfe/islphoto/genIsl.0_2.jpg,5602 Apple Orchard Ln, Austin,TX,78744
73,"6025 Toye Dr, Del Valle, TX 78617","$2,150/mo",3 beds,2.5 baths,"2,068 sq ft","Come see this adorable property in South East Austin! This property features a spacious living area, with an open floor plan and tons of natural light throughout. The large kitchen & dining connect to",30.1685545,-97.6131663,https://www.redfin.com/TX/Del-Valle/6025-Toye-Dr-78617/home/31031014,https://ssl.cdn-redfin.com/photo/rent/f58e4dff-1105-46ab-a342-acdbf8cd2cfe/islphoto/genIsl.1_2.jpg,6025 Toye Dr, Del Valle,TX,78617
74,"7008 Walkup Ln, Austin, TX 78747","$2,000/mo",3 beds,2 baths,"1,314 sq ft","Two Stories, 3 Bedrooms and 2.5 Bathroom Home for Rent in Southeast Austin Texas. It is located between I35 and 183, 45  and 71; easy access to 130 and 71, 18 minutes driving distance to AUS airport, ",30.1503578,-97.7389558,https://www.redfin.com/TX/Austin/7008-Walkup-Ln-78747/home/31031228,https://ssl.cdn-redfin.com/photo/rent/f58e4dff-1105-46ab-a342-acdbf8cd2cfe/islphoto/genIsl.38_1.jpg,7008 Walkup Ln, Austin,TX,78747
75,"111 Tabago Ct, Austin, TX 78737","$5,800/mo",4 beds,3.5 baths,"3,543 sq ft",Don't miss this amazing house nestled in a very coveted neighborhood location in South Austin. Minutes from excellent premium retail centers and very convenient to downtown and The Barton Creek Greenb,30.186189,-97.9887404,https://www.redfin.com/TX/Austin/111-Tabago-Ct-78737/home/161434701,https://ssl.cdn-redfin.com/photo/rent/8f4d1e05-584c-43ed-b1de-bde9e6529579/islphoto/genIsl.0_2.jpg,111 Tabago Ct, Austin,TX,78737
76,"6313 Ken Caryl Dr, Austin, TX 78747","$2,250/mo",3 beds,2 baths,"1,518 sq ft","Spacious 1 bedroom in Central Austin. Home features ceramic tile & wood-like floors (no carpet), modern kitchen w/ marble-like countertops/cabinets, all appliances included! Easy access to Koenig (222",30.1579161,-97.7433333,https://www.redfin.com/TX/Austin/6313-Ken-Caryl-Dr-78747/home/31031262,https://ssl.cdn-redfin.com/photo/rent/8f4d1e05-584c-43ed-b1de-bde9e6529579/islphoto/genIsl.1_2.jpg,6313 Ken Caryl Dr, Austin,TX,78747
77,"8609 Wiley Way, Austin, TX 78747","$1,998/mo",3 beds,2.5 baths,"1,788 sq ft","This exquisite property is currently available for rent, offering a plethora of amenities tailored to cater to families in search of a cozy and convenient place to establish their home base. The lease",30.152208,-97.7416963,https://www.redfin.com/TX/Austin/8609-Wiley-Way-78747/home/31031356,https://ssl.cdn-redfin.com/photo/rent/8f4d1e05-584c-43ed-b1de-bde9e6529579/islphoto/genIsl.18_1.jpg,8609 Wiley Way, Austin,TX,78747
78,"7017 Via Dono Dr, Austin, TX 78749","$4,450/mo",4 beds,3.5 baths,"4,196 sq ft","3 Bedroom, 2.5 Bath, 2 story Home in South Central Austin ~ Minutes from Park, Trail, and shopping areas.  Wood flooring, lots of natural light, high ceilings. Great layout with downstairs office/play",30.2164226,-97.885995,https://www.redfin.com/TX/Austin/7017-Via-Dono-Dr-78749/home/31032967,https://ssl.cdn-redfin.com/photo/rent/832c7295-a0ca-474d-8277-d29056040a5a/islphoto/genIsl.0_1.jpg,7017 Via Dono Dr, Austin,TX,78749
79,"5511 Guadalupe St Unit 103, Austin, TX 78751","$1,125/mo",1 bed,1 bath,— sq ft,"3 bedrooms, 2.5 baths, plus an open flex space upstairs.",30.3230602,-97.7238804,https://www.redfin.com/TX/Austin/5511-Guadalupe-St-78751/unit-103/home/191873870,https://ssl.cdn-redfin.com/photo/rent/832c7295-a0ca-474d-8277-d29056040a5a/islphoto/genIsl.1_1.jpg,5511 Guadalupe St Unit 103, Austin,TX,78751
80,"8901 Cornish Hen Cv, Austin, TX 78747","$2,350/mo",3 beds,2.5 baths,"2,077 sq ft","AWESOME HOME IN SUPER CONVENIENT LOCATION! ONLY MINUTES FROM SHOPPING, ENTERTAINMENT, RESTAURANTS & MUCH MORE! FLOORS, COUNTERTOPS, APPLIANCES,..UPGRADES GALORE! STAINLESS STEEL APPLIANCES, VINYL PLAN",30.1494772,-97.7415501,https://www.redfin.com/TX/Austin/8901-Cornish-Hen-Cv-78747/home/31033364,https://ssl.cdn-redfin.com/photo/rent/832c7295-a0ca-474d-8277-d29056040a5a/islphoto/genIsl.27_1.jpg,8901 Cornish Hen Cv, Austin,TX,78747
81,"2108 Campfield Pkwy, Austin, TX 78745","$2,900/mo",3 beds,2.5 baths,"1,844 sq ft","Welcome home! This beautiful fully furnished 1,526 square foot single family home is an oasis of tranquility and comfort, located in the highly desirable Los Cielos community. A stylish interior of co",30.1904109,-97.816755,https://www.redfin.com/TX/Austin/2108-Campfield-Pkwy-78745/home/31035644,https://ssl.cdn-redfin.com/photo/rent/d8b7919d-ca2c-4cc4-8f2d-7028bbc536d4/islphoto/genIsl.0_1.jpg,2108 Campfield Pkwy, Austin,TX,78745
82,"12516 Campana Dr, Del Valle, TX 78617","$1,975/mo",3 beds,2.5 baths,"1,659 sq ft",Available 8/15/24. Address: 5920 Los Dios Place Del Valle TX 78617 3 bed/2 bath/2 car garage 11.7 miles to downtown Austin Near 130 and 71 Minutes from Circuit Of The Americas Raceways Rental criteria,30.1692444,-97.6271376,https://www.redfin.com/TX/Del-Valle/12516-Campana-Dr-78617/home/31029135,https://ssl.cdn-redfin.com/photo/rent/d8b7919d-ca2c-4cc4-8f2d-7028bbc536d4/islphoto/genIsl.1_1.jpg,12516 Campana Dr, Del Valle,TX,78617
83,"716 Maltese Cross Dr, Austin, TX 78748","$2,695/mo",3 beds,2.5 baths,"1,238 sq ft","This majestic home located in a cul-de-sac leaves nothing to be desired! A dream home for families nestled in the heart of Circle C Ranch, this stunning 4-bedroom, 4-bathroom home offers the perfect b",30.1556798,-97.8147651,https://www.redfin.com/TX/Austin/716-Maltese-Cross-Dr-78748/home/31829811,https://ssl.cdn-redfin.com/photo/rent/d8b7919d-ca2c-4cc4-8f2d-7028bbc536d4/islphoto/genIsl.24_1.jpg,716 Maltese Cross Dr, Austin,TX,78748
84,"6117 Los Cielos Blvd, Del Valle, TX 78617","$3,200/mo",4 beds,2 baths,"1,526 sq ft","Welcome to 15202 Lucian Dr. in Austin, Texas! This charming house features 3 bedrooms and 2 bathrooms, perfect for those looking for a cozy yet spacious living space. The stainless appliances in the k",30.167714,-97.6246914,https://www.redfin.com/TX/Del-Valle/6117-Los-Cielos-Blvd-78617/home/31029125,https://ssl.cdn-redfin.com/photo/rent/fc0beee0-740e-466f-81f7-f5ae85ad0e60/islphoto/genIsl.0_1.jpg,6117 Los Cielos Blvd, Del Valle,TX,78617
85,"5920 Los Dios Pl, Del Valle, TX 78617","$1,975/mo",3 beds,2 baths,"1,690 sq ft","Ready for July 1st move-in! This 3-bedroom, 2-bathroom home features an appealing open-concept layout, a spacious backyard, and stainless steel appliances. Ideally situated in the convenient Austin's ",30.1701066,-97.6276683,https://www.redfin.com/TX/Del-Valle/5920-Los-Dios-Pl-78617/home/30993693,https://ssl.cdn-redfin.com/photo/rent/fc0beee0-740e-466f-81f7-f5ae85ad0e60/islphoto/genIsl.1_1.jpg,5920 Los Dios Pl, Del Valle,TX,78617
86,"11213 Cusseta Ln, Austin, TX 78739","$4,200/mo",4 beds,4 baths,"3,941 sq ft","Welcome to your new home! This delightful residence boasts 4 bedrooms and 2 bathrooms, offering ample space and comfort. This home combines modern amenities with cozy charm, as you step inside, you ar",30.1886499,-97.9054894,https://www.redfin.com/TX/Austin/11213-Cusseta-Ln-78739/home/30985202,https://ssl.cdn-redfin.com/photo/rent/fc0beee0-740e-466f-81f7-f5ae85ad0e60/islphoto/genIsl.18_1.jpg,11213 Cusseta Ln, Austin,TX,78739
87,"15202 Lucian St, Austin, TX 78725","$1,999/mo",3 beds,2 baths,"1,397 sq ft","Welcome to 8507 Dulcet Dr, Austin, Texas 78745! Available for move-in on August 15th, this charming Craftsman-style home blends a vintage look with modern conveniences. The primary bedroom boasts a wa",30.238921,-97.5787283,https://www.redfin.com/TX/Austin/15202-Lucian-St-78725/home/31099686,https://ssl.cdn-redfin.com/photo/rent/dee2106d-3d74-4907-b5ab-ba15be171d3b/islphoto/genIsl.1_3.jpg,15202 Lucian St, Austin,TX,78725
88,"2904 Crownover St, Austin, TX 78725","$1,780/mo",3 beds,2 baths,"1,341 sq ft","3 Bedroom 11/2 bath house in central Austin. Hard tile and wood laminate flooring throughout. Open floor plan. Recent bathroom remodel with vessel sink, and frameless shower door. Half bath in master ",30.2276732,-97.5901721,https://www.redfin.com/TX/Austin/2904-Crownover-St-78725/home/31027395,https://ssl.cdn-redfin.com/photo/rent/dee2106d-3d74-4907-b5ab-ba15be171d3b/islphoto/genIsl.2_3.jpg,2904 Crownover St, Austin,TX,78725
89,"2902 Caleb Dr, Austin, TX 78725","$1,995/mo",4 beds,2 baths,"2,000 sq ft","Welcome to the fabulous and spacious 3 Bed 2 Bath home in Austin's Colony! This charming home in Austin, TX features a spacious layout with three bedrooms and two bathrooms. Enjoy the convenience of a",30.2274078,-97.59133,https://www.redfin.com/TX/Austin/2902-Caleb-Dr-78725/home/31027327,https://ssl.cdn-redfin.com/photo/rent/dee2106d-3d74-4907-b5ab-ba15be171d3b/islphoto/genIsl.11_3.jpg,2902 Caleb Dr, Austin,TX,78725
90,"8507 Dulcet Dr, Austin, TX 78745","$2,495/mo",3 beds,2.5 baths,"1,438 sq ft","Available for immediate move-in! This newly renovated 4-bedroom, 2-bathroom residence boasts an inviting open-concept design, a big backyard, refrigerator, ceiling fans in every room, and NO CARPET, w",30.18758,-97.8158807,https://www.redfin.com/TX/Austin/8507-Dulcet-Dr-78745/home/30992148,https://ssl.cdn-redfin.com/photo/rent/43b1822b-6c07-4bed-a45b-dbbe7b4b189e/islphoto/genIsl.0_1.jpg,8507 Dulcet Dr, Austin,TX,78745
91,"4600 Chiappero Trl, Austin, TX 78731","$2,250/mo",3 beds,1.5 baths,"1,202 sq ft","**Available for 8/3 move in**Gorgeous one story house in South Austin! Great location! Close to downtown, McKinney Falls State Park and the airport! 3 beds 2 full baths. NO carpet. Laminate wood floor",30.3207275,-97.750555,https://www.redfin.com/TX/Austin/4600-Chiappero-Trl-78731/home/31452807,https://ssl.cdn-redfin.com/photo/rent/43b1822b-6c07-4bed-a45b-dbbe7b4b189e/islphoto/genIsl.1_1.jpg,4600 Chiappero Trl, Austin,TX,78731
